"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","71","76","6","73.592224","0","84"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","87","27","2","116.448807","0","449"
"/OpenXR/Devices/M_XRController.M_XRController","0","36","28","3","56.132065","0","54"
"Globals","0","602","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","1","1","10.531032","0","72"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","1","1","6.654164","0","36"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","2","1","34.063648","0","236"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","3","1","10.568412","0","31"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","3","1","12.141330","0","32"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","2.487553","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","12","4","1","19.783819","0","32"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","24","5","1","35.122330","0","89"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","2.598169","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","6","1","12.574052","0","23"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","6.638072","0","4"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","68","8","1","140.510544","0","366"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","94","19","1","165.994553","0","702"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","681","10","1","701.098083","0","26797"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","10","1","106.811623","0","525"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","147","6","1","227.682053","0","1428"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","2.633977","0","2"
